epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.7742,2.61862,25.0946,1.97626,0.00072,0.21739,0.0002,8e-05,2.13732,14.0572,2.07575,6e-05,6e-05,6e-05
2,94.7981,2.53807,25.0523,1.88307,0.00072,0.21739,0.00023,9e-05,2.0689,13.8831,1.99349,0.000139985,0.000139985,0.000139985
3,140.053,2.52939,21.4391,1.89531,0.00015,0.04348,1e-05,1e-05,2.00305,90.2086,1.73871,0.000219904,0.000219904,0.000219904
4,185.236,1.85624,10.6657,1.56846,0.00188,0.21739,0.00144,0.00086,1.34422,15.0694,1.42075,0.000299707,0.000299707,0.000299707
5,230.747,1.44744,4.60744,1.30701,0.93006,0.65217,0.76459,0.48076,1.30658,3.93412,1.42057,0.00037934,0.00037934,0.00037934
6,275.295,1.25032,2.56755,1.19076,0.25456,0.26087,0.13143,0.07226,1.34113,2.93001,1.33761,0.000458753,0.000458753,0.000458753
7,319.49,1.3607,1.8869,1.23994,0.01784,0.30435,0.00884,0.00524,1.41052,11.6799,1.34463,0.000537892,0.000537892,0.000537892
8,367.392,1.31789,1.96599,1.2652,0.02065,0.65217,0.0184,0.01082,1.52489,76.1034,1.48455,0.000616708,0.000616708,0.000616708
9,412.359,1.31855,1.53522,1.35295,0.0057,0.21739,0.00422,0.00256,1.68028,76.8608,1.65193,0.000695148,0.000695148,0.000695148
10,458.53,1.33794,1.71177,1.36203,0.00172,0.13043,0.00063,0.00028,2.13335,inf,1.71928,0.000773161,0.000773161,0.000773161
11,502.699,1.28822,1.2874,1.29812,0.00087,0.26087,0.00024,0.00014,1.57066,nan,1.59024,0.000850697,0.000850697,0.000850697
12,548.251,1.24039,1.08261,1.26715,0.0013,0.3913,0.00054,0.00026,1.79354,nan,1.94924,0.000927706,0.000927706,0.000927706
13,593.07,1.2603,0.97089,1.28778,0.00038,0.08696,4e-05,2e-05,3.29058,nan,3.49566,0.00100414,0.00100414,0.00100414
14,637.61,1.28404,0.99521,1.3325,0.0167,0.04348,0.00646,0.00517,2.22049,11.7597,2.13692,0.00107994,0.00107994,0.00107994
15,679.93,1.21507,0.97342,1.26396,0.00658,0.08696,0.00115,0.00077,2.00085,15.8315,2.05613,0.00115507,0.00115507,0.00115507
16,721.276,1.24701,1.01506,1.29093,0.02221,0.13043,0.00698,0.00443,1.73072,13.0016,1.74339,0.00122947,0.00122947,0.00122947
17,763.253,1.14096,0.87581,1.2166,0.01799,0.30435,0.00845,0.00531,1.64575,39.2935,1.91264,0.0013031,0.0013031,0.0013031
18,804.354,1.24928,0.92594,1.27739,0.0035,0.56522,0.0025,0.0015,1.64584,inf,1.91426,0.00137592,0.00137592,0.00137592
19,846.327,1.26791,0.89413,1.30002,0.00205,0.6087,0.00141,0.00056,2.254,inf,6.42237,0.00144786,0.00144786,0.00144786
20,889.956,1.22477,0.92413,1.26255,0.00087,0.04348,0.00033,9e-05,4.09608,901.152,7.81456,0.00151889,0.00151889,0.00151889
21,931.886,1.15581,0.86552,1.21202,0,0,0,0,5.84438,inf,117.193,0.00158896,0.00158896,0.00158896
22,973.258,1.1758,0.84439,1.31473,0,0,0,0,4.81049,4.38002,11.5247,0.00165803,0.00165803,0.00165803
23,1015.63,1.24503,0.8547,1.23852,0.8383,0.73913,0.74651,0.45719,1.57683,1.99544,1.61248,0.00172605,0.00172605,0.00172605
24,1056.81,1.28534,0.94382,1.24232,0.97876,0.82609,0.93989,0.59385,1.36004,0.94129,1.49058,0.00179297,0.00179297,0.00179297
25,1098.57,1.34849,0.88018,1.35091,0.91946,0.6087,0.78909,0.51757,1.31152,1.52728,1.47754,0.00185877,0.00185877,0.00185877
26,1139.35,1.24332,0.86988,1.25712,0.30714,0.73913,0.29047,0.16957,1.41074,3.90293,1.66258,0.00186737,0.00186737,0.00186737
27,1181.21,1.1883,0.78369,1.25123,0.04738,0.69565,0.04337,0.02702,1.36698,32.6467,1.57693,0.00185681,0.00185681,0.00185681
28,1223.26,1.214,0.77392,1.32394,0.014,0.73913,0.01358,0.00715,1.68024,93.1671,1.98223,0.00184588,0.00184588,0.00184588
29,1264.52,1.18506,0.84562,1.21691,0.5944,0.56522,0.64999,0.32344,1.72362,2.37732,1.95447,0.00183459,0.00183459,0.00183459
30,1305.31,1.29185,0.99097,1.2991,0.92096,0.5074,0.56101,0.37286,1.42601,nan,1.61482,0.00182294,0.00182294,0.00182294
31,1347.23,1.37222,0.82514,1.34216,0.89177,0.71705,0.77041,0.47631,1.51884,1.49453,1.65794,0.00181093,0.00181093,0.00181093
32,1388.54,1.26177,0.79156,1.29425,0.90543,0.8328,0.89929,0.54691,1.41795,1.20153,1.54519,0.00179856,0.00179856,0.00179856
33,1429.71,1.15924,0.79241,1.25792,0.75269,0.69565,0.76519,0.48919,1.3399,1.17109,1.61461,0.00178586,0.00178586,0.00178586
34,1469.74,1.23717,0.84109,1.33703,0.74003,0.86957,0.89827,0.54092,1.38671,1.541,1.55158,0.00177281,0.00177281,0.00177281
35,1512.88,1.15876,0.694,1.26833,0.97956,0.82609,0.92949,0.54768,1.58436,1.16657,1.87779,0.00175943,0.00175943,0.00175943
36,1554.26,1.29148,0.79163,1.3686,0.9521,0.86444,0.97023,0.60371,1.37194,1.07249,1.58127,0.00174571,0.00174571,0.00174571
37,1596.17,1.27002,0.8321,1.33781,0.82889,0.95652,0.92784,0.57422,1.2725,1.4171,1.45116,0.00173168,0.00173168,0.00173168
38,1636.93,1.18456,0.75311,1.34101,0.98054,0.86957,0.90702,0.60278,1.24498,1.80237,1.37585,0.00171733,0.00171733,0.00171733
39,1678.9,1.28736,0.82414,1.35666,0.90129,0.82609,0.84354,0.53195,1.41763,1.90428,1.50979,0.00170267,0.00170267,0.00170267
40,1719.73,1.22484,0.83238,1.30576,1,0.81728,0.9067,0.54498,1.47271,1.48449,1.59463,0.0016877,0.0016877,0.0016877
41,1761.52,1.20751,0.75103,1.33573,1,0.84962,0.93335,0.62314,1.29183,0.96551,1.45477,0.00167244,0.00167244,0.00167244
42,1804.62,1.21523,0.73225,1.26953,0.97641,0.86957,0.92715,0.62399,1.26903,1.10045,1.43332,0.00165689,0.00165689,0.00165689
43,1847.31,1.21154,0.78014,1.27438,0.88525,0.82609,0.90715,0.59611,1.33278,1.23941,1.47766,0.00164105,0.00164105,0.00164105
44,1888.8,1.16158,0.73594,1.27048,0.90833,0.86191,0.92024,0.60879,1.29029,1.04912,1.44807,0.00162494,0.00162494,0.00162494
45,1929.17,1.17658,0.70442,1.28404,0.95222,0.8667,0.9451,0.59315,1.40633,1.17146,1.56055,0.00160855,0.00160855,0.00160855
46,1969.13,1.31307,0.77283,1.31922,0.92516,0.82609,0.90483,0.58647,1.31962,1.19793,1.44962,0.00159191,0.00159191,0.00159191
47,2010.28,1.2142,0.72686,1.29985,1,0.89551,0.91846,0.67685,1.17905,0.89989,1.36221,0.00157501,0.00157501,0.00157501
48,2050.92,1.09721,0.65816,1.2048,1,0.90202,0.93605,0.68209,1.11167,0.77076,1.31075,0.00155786,0.00155786,0.00155786
49,2092.38,1.09655,0.67579,1.22659,0.9557,0.93855,0.97294,0.68698,1.13913,0.75891,1.3414,0.00154047,0.00154047,0.00154047
50,2133.21,1.14932,0.65483,1.22528,0.9921,0.95652,0.99333,0.68607,1.1089,0.6483,1.33031,0.00152285,0.00152285,0.00152285
51,2174.99,1.17865,0.69841,1.24506,0.99019,0.95652,0.98907,0.67308,1.12249,0.62271,1.34938,0.001505,0.001505,0.001505
52,2215.85,1.1063,0.62066,1.18584,1,0.90599,0.97388,0.6507,1.20233,0.73654,1.37722,0.00148694,0.00148694,0.00148694
53,2257.26,1.20723,0.67781,1.26392,1,0.95122,0.99333,0.65551,1.313,0.76927,1.49895,0.00146866,0.00146866,0.00146866
54,2298.27,1.13676,0.65424,1.27086,0.95332,0.88845,0.97965,0.62261,1.29364,0.82273,1.48211,0.00145019,0.00145019,0.00145019
55,2340.38,1.03732,0.61067,1.16154,0.99743,0.91304,0.97726,0.66365,1.2597,0.6664,1.44771,0.00143152,0.00143152,0.00143152
56,2381.56,1.11337,0.65207,1.23307,1,0.91206,0.9886,0.67592,1.17286,0.64697,1.39335,0.00141267,0.00141267,0.00141267
57,2422.81,1.14039,0.69047,1.25485,0.98483,0.95652,0.98129,0.69532,1.09571,0.63803,1.33709,0.00139364,0.00139364,0.00139364
58,2463.65,1.16875,0.67947,1.25995,0.97842,0.95652,0.99038,0.67536,1.13349,0.67022,1.35616,0.00137444,0.00137444,0.00137444
59,2506.47,1.07333,0.60211,1.19302,0.9562,0.94941,0.98473,0.6636,1.15783,0.71446,1.37672,0.00135509,0.00135509,0.00135509
60,2547.09,1.03616,0.58079,1.16569,1,0.90608,0.98134,0.65199,1.18619,0.72103,1.36041,0.00133558,0.00133558,0.00133558
61,2588.3,1.09346,0.62042,1.35668,1,0.94937,0.96336,0.63783,1.20461,0.68062,1.37331,0.00131593,0.00131593,0.00131593
62,2628.71,1.10526,0.62849,1.20076,0.99661,0.95652,0.98907,0.66597,1.16029,0.56267,1.35364,0.00129614,0.00129614,0.00129614
63,2670.67,1.10951,0.59846,1.26943,1,0.94918,0.9918,0.65106,1.27442,0.53518,1.44516,0.00127623,0.00127623,0.00127623
64,2712.61,1.14818,0.63877,1.20881,0.9522,0.95652,0.96679,0.61442,1.3616,0.67533,1.52924,0.0012562,0.0012562,0.0012562
65,2753.32,1.10506,0.63539,1.20366,0.94231,0.95652,0.96476,0.63563,1.25091,0.64917,1.43239,0.00123607,0.00123607,0.00123607
66,2794.12,1.07784,0.6915,1.18224,0.95897,0.95652,0.97417,0.66497,1.20358,0.64734,1.4108,0.00121583,0.00121583,0.00121583
67,2836.48,1.04393,0.59496,1.23951,0.98716,0.95652,0.978,0.66531,1.23423,0.72067,1.41726,0.00119551,0.00119551,0.00119551
68,2877.66,1.06905,0.5848,1.17741,0.98529,0.95652,0.9764,0.6203,1.34161,0.67791,1.46273,0.0011751,0.0011751,0.0011751
69,2919.3,1.04501,0.55379,1.16489,1,0.95598,0.98907,0.66144,1.2323,0.6253,1.3845,0.00115462,0.00115462,0.00115462
70,2959.99,1.00339,0.5675,1.18389,0.99147,0.95652,0.96236,0.6732,1.15668,0.57776,1.33632,0.00113408,0.00113408,0.00113408
71,3002.08,1.03319,0.56182,1.17083,0.99185,0.95652,0.955,0.6634,1.20338,0.53462,1.4075,0.00111348,0.00111348,0.00111348
72,3043.39,0.99831,0.51857,1.11539,0.94156,0.86957,0.93434,0.62551,1.22399,0.68741,1.45,0.00109284,0.00109284,0.00109284
73,3084.75,1.05788,0.5572,1.16904,0.91628,0.95193,0.94939,0.62664,1.26806,0.55562,1.47511,0.00107216,0.00107216,0.00107216
74,3125.89,1.01192,0.55924,1.13322,0.8862,0.95652,0.98288,0.62587,1.27107,0.5481,1.43243,0.00105146,0.00105146,0.00105146
75,3167.81,1.02188,0.58421,1.21136,0.88314,0.98614,0.98288,0.59567,1.33823,0.55563,1.49117,0.00103073,0.00103073,0.00103073
76,3208.87,1.0172,0.54049,1.16582,0.98579,0.95652,0.9918,0.61002,1.32405,0.50238,1.47741,0.00101,0.00101,0.00101
77,3250.08,1.06436,0.53091,1.21493,1,0.95028,0.98907,0.66441,1.18309,0.49059,1.38084,0.000989267,0.000989267,0.000989267
78,3291,1.09716,0.58281,1.18561,1,0.95089,0.98375,0.70056,1.13408,0.4836,1.3399,0.000968543,0.000968543,0.000968543
79,3332.93,1.04681,0.58619,1.1654,0.95816,0.99587,0.99333,0.68775,1.12144,0.50046,1.34364,0.000947837,0.000947837,0.000947837
80,3374.04,1.00596,0.54861,1.15353,0.95814,0.99538,0.99333,0.68953,1.0981,0.50379,1.33461,0.000927159,0.000927159,0.000927159
81,3415.76,1.0022,0.56344,1.1685,0.99713,1,0.995,0.71952,1.04791,0.49238,1.2893,0.000906517,0.000906517,0.000906517
82,3456.76,0.95175,0.50189,1.11981,0.9577,0.98469,0.99167,0.73251,1.04778,0.49413,1.29004,0.00088592,0.00088592,0.00088592
83,3498.93,1.01589,0.59458,1.16406,0.99429,0.95652,0.955,0.68614,1.06727,0.46803,1.29751,0.000865378,0.000865378,0.000865378
84,3540.04,1.03033,0.56993,1.11982,0.99094,0.91304,0.95167,0.67486,1.08937,0.49088,1.31707,0.000844899,0.000844899,0.000844899
85,3581.85,0.99688,0.5898,1.1515,0.99168,0.91304,0.92643,0.67495,1.12067,0.49645,1.35784,0.000824492,0.000824492,0.000824492
86,3622.26,0.97127,0.49682,1.12084,0.95824,0.99764,0.99333,0.67692,1.20256,0.50001,1.41952,0.000804167,0.000804167,0.000804167
